,Estado,data,Prec_min,Prec_mean,Prec_max,ano,mes,dia
43,PA,2022-05-03,0.0,7.083897790378182,86.6789468484976,2022,05,03
44,BA,2022-05-03,0.0,0.1779974082481582,18.294998530531302,2022,05,03
45,RN,2022-05-03,0.0,2.28875580761659,21.325687021017075,2022,05,03
46,RJ,2022-05-03,0.0,0.008061317248876,0.5460426048375666,2022,05,03
47,SP,2022-05-03,0.0,0.6498909815241992,20.624105585797224,2022,05,03
48,CE,2022-05-03,0.0,2.271454474089206,25.115242436528206,2022,05,03
49,PE,2022-05-03,0.0,0.6053406252223861,8.7935316292278,2022,05,03
50,PI,2022-05-03,0.0,0.5908300233047574,29.62610075401608,2022,05,03
51,PB,2022-05-03,0.0,1.827335455581248,21.468010891228914,2022,05,03
52,RS,2022-05-03,0.0,20.32299494029549,128.2992993593216,2022,05,03
53,GO,2022-05-03,0.0,0.18042016192987853,8.231798253953457,2022,05,03
54,DF,2022-05-04,0.0,0.035413167635710154,2.0141436234116554,2022,05,04
55,RR,2022-05-04,2.1057798841502517,17.30913556048496,75.24817034974694,2022,05,04
56,AP,2022-05-04,1.0615315515115036,10.096828572390752,40.26812200053399,2022,05,04
57,AC,2022-05-04,0.004199884686386213,6.622997323494142,42.42307311762124,2022,05,04
58,MA,2022-05-04,0.0,6.09769419366965,68.55562370829284,2022,05,04
59,SC,2022-05-04,0.0,26.545043530065527,84.6578662097454,2022,05,04
60,RO,2022-05-04,0.0,0.8115157292225935,26.066527497023344,2022,05,04
61,AM,2022-05-04,0.0,12.774347196197153,147.40470150776673,2022,05,04
62,SE,2022-05-04,0.027018588036298752,4.924859021858585,18.682019345462322,2022,05,04
63,MS,2022-05-04,0.0,1.31745437863068,7.971283646998927,2022,05,04
64,MG,2022-05-04,0.0,2.16433733509531,41.32715387828648,2022,05,04
65,AL,2022-05-04,0.0,1.669910672149286,10.92264537513256,2022,05,04
66,ES,2022-05-04,0.0,0.04506010918436178,2.484044197946787,2022,05,04
67,TO,2022-05-04,0.0,1.1737652900306779,68.55562370829284,2022,05,04
68,MT,2022-05-04,0.0,0.34867412244982743,23.18817381374538,2022,05,04
69,PR,2022-05-04,0.0,2.8359621118771616,50.582971348427236,2022,05,04
70,PA,2022-05-04,0.0,11.667258165553822,145.54880194878206,2022,05,04
71,BA,2022-05-04,0.0,0.35038119581451166,12.14966831728816,2022,05,04
72,RN,2022-05-04,0.0,2.2810256000267612,18.32353585958481,2022,05,04
73,RJ,2022-05-04,0.0,6.791038989761845,24.48360967449844,2022,05,04
74,SP,2022-05-04,0.0018865997990360484,7.461188383665685,41.89929068344645,2022,05,04
75,CE,2022-05-04,0.0,2.8337639059394304,28.899747379124165,2022,05,04
76,PE,2022-05-04,0.0,0.29247118960512963,26.77101451798808,2022,05,04
77,PI,2022-05-04,0.0,0.9021251689375935,21.977627705782652,2022,05,04
78,PB,2022-05-04,0.0,0.030358998676324255,1.1849040687084198,2022,05,04
79,RS,2022-05-04,0.0,7.141583836067225,77.2137112878263,2022,05,04
80,GO,2022-05-04,0.0,0.5530942531242765,10.04100388288498,2022,05,04
81,DF,2022-05-05,0.0,2.288372445332556,16.385821640491486,2022,05,05
82,RR,2022-05-05,0.0,1.6180007704786297,14.712543482426554,2022,05,05
83,AP,2022-05-05,0.02499355492182076,7.107127064091255,100.20447861496359,2022,05,05
84,AC,2022-05-05,0.0,0.12509876039623766,2.4977161900606006,2022,05,05
85,MA,2022-05-05,0.0,3.72823004612493,47.31595928547904,2022,05,05
86,SC,2022-05-05,0.0,0.2893596120360256,8.561760490760207,2022,05,05
87,RO,2022-05-05,0.0,0.07060968773481732,2.446099591325037,2022,05,05
88,AM,2022-05-05,0.0,3.29689250157513,115.99270270380757,2022,05,05
89,SE,2022-05-05,0.0,0.08205190989034496,1.167816672474146,2022,05,05
90,MS,2022-05-05,0.0,0.0006080360696968701,0.6234766275156289,2022,05,05
91,MG,2022-05-05,0.0,3.2444491147995445,87.4251875980408,2022,05,05
92,AL,2022-05-05,0.0,0.11898548765363881,1.0558518525213003,2022,05,05
93,ES,2022-05-05,0.0,4.050805728244175,78.5914366543293,2022,05,05
94,TO,2022-05-05,0.0,2.3334189133764367,44.451469267718494,2022,05,05
95,MT,2022-05-05,0.0,0.12066895138186731,19.12149866047548,2022,05,05
96,PR,2022-05-05,0.0,0.0009894230093245187,0.24887963896617293,2022,05,05
97,PA,2022-05-05,0.0,6.5344877040441265,130.06518886983395,2022,05,05
98,BA,2022-05-05,0.0,0.5366316745115436,52.816670417785645,2022,05,05
99,RN,2022-05-05,0.0,7.75918012541928,51.168661177158356,2022,05,05
100,RJ,2022-05-05,0.0,7.043323800509109,28.96671869419515,2022,05,05
101,SP,2022-05-05,0.0,0.006481958151772293,1.221012311289087,2022,05,05
102,CE,2022-05-05,0.0,2.606909659151614,30.304185173939914,2022,05,05
103,PE,2022-05-05,0.0,0.15371248074646168,18.273272314108908,2022,05,05
104,PI,2022-05-05,0.0,1.0680200223798435,20.04942797124386,2022,05,05
105,PB,2022-05-05,0.0,1.0673247447049659,19.38122845091857,2022,05,05
106,RS,2022-05-05,0.0,0.005992072752723678,5.823984906077385,2022,05,05
107,GO,2022-05-05,0.0,0.2920678021268423,17.53176605666522,2022,05,05
108,DF,2022-05-06,0.0,2.303279867047238,9.189550146460533,2022,05,06
109,RR,2022-05-06,0.5235996718984097,25.58683268562102,102.06005150731653,2022,05,06
110,AP,2022-05-06,0.8545944852230605,16.162780440807328,65.98133650225802,2022,05,06
111,AC,2022-05-06,0.0,0.007863081454720868,0.4338267222046852,2022,05,06
112,MA,2022-05-06,0.0,2.3910118768504307,26.163203483189342,2022,05,06
113,SC,2022-05-06,0.0,0.013718293218081176,4.0406332686543465,2022,05,06
114,RO,2022-05-06,0.0,0.11882098674888635,6.889016069471836,2022,05,06
115,AM,2022-05-06,0.0,8.038653692250548,124.49128127843142,2022,05,06
116,SE,2022-05-06,0.0,0.01888351492160027,2.4244994074106216,2022,05,06
117,MS,2022-05-06,0.0,6.770204557328334e-05,0.3214877564460039,2022,05,06
118,MG,2022-05-06,0.0,0.3716337392528792,18.984063670039177,2022,05,06
119,AL,2022-05-06,0.0,0.1201565013660916,7.563923306763172,2022,05,06
120,ES,2022-05-06,0.0,0.9281668476828815,27.13077601790428,2022,05,06
121,TO,2022-05-06,0.0,1.2525538749993497,19.627318838611245,2022,05,06
122,MT,2022-05-06,0.0,0.16393172848677975,40.70110857486725,2022,05,06
123,PR,2022-05-06,0.0,0.00011893649821081296,0.2284156233072281,2022,05,06
124,PA,2022-05-06,0.0,10.705441889636448,124.45369237521663,2022,05,06
125,BA,2022-05-06,0.0,0.31046591047869115,21.34834110736847,2022,05,06
126,RN,2022-05-06,0.0,10.385721114876961,69.58703674282879,2022,05,06
127,RJ,2022-05-06,0.0,0.00646271403360505,0.38294774293899536,2022,05,06
128,SP,2022-05-06,0.0,0.004424049086722401,3.844843938946724,2022,05,06
129,CE,2022-05-06,0.0,3.159984099287123,44.230559570482,2022,05,06
130,PE,2022-05-06,0.0,0.5482129685201106,9.688074436038733,2022,05,06
131,PI,2022-05-06,0.0,0.5688944649376587,21.787993419915438,2022,05,06
132,PB,2022-05-06,0.0,1.4655632584165064,11.966141283977777,2022,05,06
133,RS,2022-05-06,0.0,0.029680374863892117,4.128278695046902,2022,05,06
134,GO,2022-05-06,0.0,0.1973902276327174,17.258350618183613,2022,05,06
135,DF,2022-05-07,0.0,1.1651354423724383,12.135535418987274,2022,05,07
136,RR,2022-05-07,0.3399764325004071,19.02273182248458,64.20652871904895,2022,05,07
137,AP,2022-05-07,1.0028113190828782,11.247660036077828,36.9775745136576,2022,05,07
138,AC,2022-05-07,0.0,0.11644151403754074,4.811051810160279,2022,05,07
139,MA,2022-05-07,0.0,4.186597611215416,44.1761393116832,2022,05,07
140,SC,2022-05-07,0.0,0.005946456357444222,0.6092088185250759,2022,05,07
141,RO,2022-05-07,0.0,0.05296534982139952,3.1906580440700054,2022,05,07
142,AM,2022-05-07,0.0,13.626135199309388,111.54629122908227,2022,05,07
143,SE,2022-05-07,0.0,0.0013897067559639404,0.18201057985424995,2022,05,07
144,MS,2022-05-07,0.0,0.003841236581720001,3.570083737373352,2022,05,07
145,MG,2022-05-07,0.0,0.07709211247480882,9.354100115334646,2022,05,07
146,AL,2022-05-07,0.0,0.05678056047615787,1.9963836967945099,2022,05,07
147,ES,2022-05-07,0.0,0.014667112392314559,1.4043195196034137,2022,05,07
148,TO,2022-05-07,0.0,1.6180418030596193,31.37303349544374,2022,05,07
149,MT,2022-05-07,0.0,0.4821494901346963,40.31832601502538,2022,05,07
150,PR,2022-05-07,0.0,0.0,0.0,2022,05,07
151,PA,2022-05-07,0.0,11.139949876374303,109.28134594857693,2022,05,07
152,BA,2022-05-07,0.0,0.20390619118021447,18.615367928519845,2022,05,07
153,RN,2022-05-07,0.0,3.621742079476191,31.655040082521737,2022,05,07
154,RJ,2022-05-07,0.0,0.0031530691085332914,0.3018241603858769,2022,05,07
155,SP,2022-05-07,0.0,0.01157150463815467,3.570083737373352,2022,05,07
156,CE,2022-05-07,0.0,3.2903771479680315,31.518622965784743,2022,05,07
157,PE,2022-05-07,0.0,0.691826048382936,35.034038851968944,2022,05,07
158,PI,2022-05-07,0.0,0.5989733712902536,12.8033462334406,2022,05,07
159,PB,2022-05-07,0.0,1.87086678816894,14.96053854119964,2022,05,07
160,RS,2022-05-07,0.0,0.00521091249677765,1.15659895632416,2022,05,07
161,GO,2022-05-07,0.0,0.5787064147226704,50.42826169519685,2022,05,07
162,DF,2022-05-08,0.0,1.5656557383151757e-08,0.00048384242109023035,2022,05,08
163,RR,2022-05-08,0.0,11.46415772469569,64.95784521009773,2022,05,08
164,AP,2022-05-08,0.0,11.124407856792978,42.97355835772517,2022,05,08
165,AC,2022-05-08,0.0,0.028739268982990115,0.877988500520587,2022,05,08
166,MA,2022-05-08,0.0,5.530103486596867,73.90671529412465,2022,05,08
167,SC,2022-05-08,0.0,0.0005638343098951943,0.40470958058722317,2022,05,08
168,RO,2022-05-08,0.0,0.18154532613194788,8.387405863031745,2022,05,08
169,AM,2022-05-08,0.0,5.927419887564633,137.20630570035428,2022,05,08
170,SE,2022-05-08,0.0,0.027799958097249073,3.9381482005119324,2022,05,08
171,MS,2022-05-08,0.0,0.005071946535932527,5.942402391202634,2022,05,08
172,MG,2022-05-08,0.0,0.12869354764246954,9.828742295736447,2022,05,08
173,AL,2022-05-08,0.0,0.29870252261286473,13.099942971020937,2022,05,08
174,ES,2022-05-08,0.0,0.00896454596169436,0.7755433320999146,2022,05,08
175,TO,2022-05-08,0.0,0.17695311330200597,9.541858403827064,2022,05,08
176,MT,2022-05-08,0.0,0.3359967390516289,34.495305058546364,2022,05,08
177,PR,2022-05-08,0.0,0.00031314357313388794,0.4586708872229792,2022,05,08
178,PA,2022-05-08,0.0,11.78718060387582,131.9652161449194,2022,05,08
179,BA,2022-05-08,0.0,0.1431481013215852,9.862715978175402,2022,05,08
180,RN,2022-05-08,0.0,2.5546424788313815,13.799977093935013,2022,05,08
181,RJ,2022-05-08,0.0,0.0007785358194401831,0.35420932713896036,2022,05,08
182,SP,2022-05-08,0.0,0.05267836538296694,12.16259890794754,2022,05,08
183,CE,2022-05-08,0.0,1.615702176099527,23.912144981324673,2022,05,08
184,PE,2022-05-08,0.0,0.2469405684875971,11.592375345528126,2022,05,08
185,PI,2022-05-08,0.0,1.404402598675492,40.21269671127796,2022,05,08
186,PB,2022-05-08,0.0,0.8436005109481663,12.416476249694824,2022,05,08
187,RS,2022-05-08,0.0,0.00028570445854792285,0.3041994720697403,2022,05,08
188,GO,2022-05-08,0.0,0.33583107943796775,44.45884408801794,2022,05,08
189,DF,2022-05-09,0.0,0.0,0.0,2022,05,09
190,RR,2022-05-09,0.0,5.124048240615146,54.81930728070438,2022,05,09
191,AP,2022-05-09,0.07584025408141315,9.307508056949729,32.564415947534144,2022,05,09
192,AC,2022-05-09,0.0,0.20314078697943758,5.413924492895603,2022,05,09
193,MA,2022-05-09,0.0,9.034397986443725,71.54158434810915,2022,05,09
194,SC,2022-05-09,0.0,0.0,0.0,2022,05,09
195,RO,2022-05-09,0.0,2.2649536259869314,70.56774158147164,2022,05,09
196,AM,2022-05-09,0.0,6.230348711136198,80.46387544646859,2022,05,09
197,SE,2022-05-09,0.0,0.15913334744658192,4.060171902179718,2022,05,09
198,MS,2022-05-09,0.0,0.011166875525221664,7.347927342168987,2022,05,09
199,MG,2022-05-09,0.0,0.00591467475282349,3.3665494546294212,2022,05,09
200,AL,2022-05-09,0.0,0.26554920438353286,4.600528770076875,2022,05,09
201,ES,2022-05-09,0.0,0.001467555039864536,3.0253169322677422,2022,05,09
202,TO,2022-05-09,0.0,0.05931925507684566,4.8433776795864105,2022,05,09
203,MT,2022-05-09,0.0,0.6118505666762378,31.49589988961816,2022,05,09
204,PR,2022-05-09,0.0,2.5893493716433395e-05,0.026895666494965553,2022,05,09
205,PA,2022-05-09,0.0,8.058956514419153,69.04577276407274,2022,05,09
206,BA,2022-05-09,0.0,0.05203955985860652,2.9743396192789078,2022,05,09
207,RN,2022-05-09,0.0,1.787969419041672,19.1720860740721,2022,05,09
208,RJ,2022-05-09,0.0,0.001993146314615374,1.8299538977444172,2022,05,09
209,SP,2022-05-09,0.0,0.012178636781605124,3.3665494546294212,2022,05,09
210,CE,2022-05-09,0.0011292325798422098,5.281413023735827,39.23142753634602,2022,05,09
211,PE,2022-05-09,0.0,1.3693003118322793,9.474571964288563,2022,05,09
212,PI,2022-05-09,0.0,1.4561399314624561,27.088723577725258,2022,05,09
213,PB,2022-05-09,0.0,1.0404876837268633,8.273303598165512,2022,05,09
214,RS,2022-05-09,0.0,0.05791623733056232,2.644077116623521,2022,05,09
215,GO,2022-05-09,0.0,0.028233917823218914,5.2362764701247215,2022,05,09
216,DF,2022-05-10,0.0,0.0,0.0,2022,05,10
217,RR,2022-05-10,0.0,2.370303910501227,51.537839613854885,2022,05,10
218,AP,2022-05-10,0.02806846983730793,9.161540856950978,82.68687645532191,2022,05,10
219,AC,2022-05-10,0.0,2.1969365389604,16.588745140936226,2022,05,10
220,MA,2022-05-10,0.0,3.3913681627284853,50.17630361043848,2022,05,10
221,SC,2022-05-10,0.16711568646132946,12.00088606524757,28.61239120364189,2022,05,10
222,RO,2022-05-10,0.0,0.799236707223353,18.779157347860746,2022,05,10
223,AM,2022-05-10,0.0,3.262468798060539,149.2184531949271,2022,05,10
224,SE,2022-05-10,0.0,0.5321432413906108,6.065621934831142,2022,05,10
225,MS,2022-05-10,0.0,3.720464138977053,43.817917028442025,2022,05,10
226,MG,2022-05-10,0.0,0.0013215858044256742,2.886778978165239,2022,05,10
227,AL,2022-05-10,0.0,0.08082342110901734,9.054192427545786,2022,05,10
228,ES,2022-05-10,0.0,0.0003332034296233654,4.833341127261519,2022,05,10
